Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements
1387,2019,1,1,CARL,64,RICH,97,Marc Murphy,CARL,16,13,29,6,23,72.4,1,4,0,0,0,1,0,1,4,1,0,1,0,0,5,1,0,0,100,87,97,14.9,0,530,7
1387,2019,1,1,CARL,64,RICH,97,Sam Petrevski-Seton,CARL,12,6,18,4,14,61.1,2,8,0,0,0,2,1,1,2,1,0,2,1,0,4,0,0,0,0,85,81,7.1,0,282,0
1387,2019,1,1,CARL,64,RICH,97,Nic Newman,CARL,21,5,26,5,17,84.6,2,9,0,0,0,1,0,1,12,1,0,2,3,0,2,1,0,0,100,84,115,15.9,0,584,4
1387,2019,1,1,CARL,64,RICH,97,Liam Jones,CARL,4,4,8,7,2,87.5,2,3,1,0,0,1,0,1,3,3,1,5,7,0,0,0,0,0,0,97,49,11.5,0,20,1
1387,2019,1,1,CARL,64,RICH,97,Andrew Phillips,CARL,5,4,9,3,7,66.7,4,3,1,0,27,3,2,1,0,1,3,8,4,0,2,0,0,0,0,79,83,9.7,2,163,2
1387,2019,1,1,CARL,64,RICH,97,Michael Gibbons,CARL,5,6,11,3,7,72.7,2,2,0,0,0,0,0,0,0,0,1,3,2,0,1,0,1,0,0,71,43,3.9,0,168,5
1387,2019,1,1,CARL,64,RICH,97,Patrick Cripps,CARL,10,22,32,21,11,81.3,3,1,0,0,0,7,4,3,2,3,1,6,0,1,2,0,0,0,0,89,101,26.2,0,263,5
1387,2019,1,1,CARL,64,RICH,97,Jarrod Garlett,CARL,8,1,9,5,5,44.4,2,3,0,0,0,1,0,1,3,0,0,4,2,0,0,0,0,0,0,68,51,6.6,0,202,2
1387,2019,1,1,CARL,64,RICH,97,David Cuningham,CARL,9,13,22,10,15,68.2,7,5,0,0,0,3,2,1,0,1,2,5,0,0,5,0,0,1,0,79,83,4.7,2,328,6
1387,2019,1,1,CARL,64,RICH,97,Paddy Dow,CARL,8,13,21,9,12,66.7,4,3,0,1,0,1,1,0,1,1,1,2,1,0,3,0,1,0,0,76,66,5.4,0,195,5
