,Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements,Predicted_Votes,prediction0,prediction1,prediction2,prediction3
0,1387,2019,1,1,CARL,64,RICH,97,Marc Murphy,CARL,16,13,29,6,23,72.4,1,4,0,0,0,1,0,1,4,1,0,1,0,0,5,1,0,0,100,87,97,14.9,0,530,7,0.0,0.9341937382055033,0.04450632087673244,0.019576977853260125,0.0017229630645038446
1,1387,2019,1,1,CARL,64,RICH,97,Sam Petrevski-Seton,CARL,12,6,18,4,14,61.1,2,8,0,0,0,2,1,1,2,1,0,2,1,0,4,0,0,0,0,85,81,7.1,0,282,0,0.0,0.9999653007942753,2.8958783093306542e-05,5.557671329301075e-06,1.8275130122166723e-07
2,1387,2019,1,1,CARL,64,RICH,97,Nic Newman,CARL,21,5,26,5,17,84.6,2,9,0,0,0,1,0,1,12,1,0,2,3,0,2,1,0,0,100,84,115,15.9,0,584,4,1.0,0.1111734394033929,0.8340857776104523,0.039946761750345006,0.014794021235811727
3,1387,2019,1,1,CARL,64,RICH,97,Liam Jones,CARL,4,4,8,7,2,87.5,2,3,1,0,0,1,0,1,3,3,1,5,7,0,0,0,0,0,0,97,49,11.5,0,20,1,0.0,0.9999999986520507,1.3020826400362215e-09,4.563291574752208e-11,2.305860238458903e-13
4,1387,2019,1,1,CARL,64,RICH,97,Andrew Phillips,CARL,5,4,9,3,7,66.7,4,3,1,0,27,3,2,1,0,1,3,8,4,0,2,0,0,0,0,79,83,9.7,2,163,2,0.0,0.9999504207292732,4.318542279707432e-05,6.11794757459616e-06,2.759003543614297e-07
5,1387,2019,1,1,CARL,64,RICH,97,Michael Gibbons,CARL,5,6,11,3,7,72.7,2,2,0,0,0,0,0,0,0,0,1,3,2,0,1,0,1,0,0,71,43,3.9,0,168,5,0.0,0.9999999998565201,1.3608183450409914e-10,7.298844688142857e-12,9.972784907882908e-14
6,1387,2019,1,1,CARL,64,RICH,97,Patrick Cripps,CARL,10,22,32,21,11,81.3,3,1,0,0,0,7,4,3,2,3,1,6,0,1,2,0,0,0,0,89,101,26.2,0,263,5,2.0,3.9197748386450885e-05,0.38051348084196945,0.4655371207284137,0.15391020068122963
7,1387,2019,1,1,CARL,64,RICH,97,Jarrod Garlett,CARL,8,1,9,5,5,44.4,2,3,0,0,0,1,0,1,3,0,0,4,2,0,0,0,0,0,0,68,51,6.6,0,202,2,0.0,0.9999999999440874,5.331105730570003e-11,2.581560546153084e-12,2.3215029157830812e-14
8,1387,2019,1,1,CARL,64,RICH,97,David Cuningham,CARL,9,13,22,10,15,68.2,7,5,0,0,0,3,2,1,0,1,2,5,0,0,5,0,0,1,0,79,83,4.7,2,328,6,0.0,0.9967927147894332,0.0028235594355907946,0.00035994672751573997,2.37790474620109e-05
9,1387,2019,1,1,CARL,64,RICH,97,Paddy Dow,CARL,8,13,21,9,12,66.7,4,3,0,1,0,1,1,0,1,1,1,2,1,0,3,0,1,0,0,76,66,5.4,0,195,5,0.0,0.9999973040657681,2.3731474434393704e-06,3.133739906691949e-07,9.412795675348604e-09
10,1387,2019,1,1,CARL,64,RICH,97,Dale Thomas,CARL,15,12,27,6,17,85.2,4,3,0,0,0,0,0,0,5,1,1,2,4,0,3,1,0,1,100,78,90,14.0,0,434,8,0.0,0.9962056815470842,0.003062720791715246,0.0006919012031457286,3.969645805486153e-05
11,1387,2019,1,1,CARL,64,RICH,97,Alex Fasolo,CARL,4,1,5,1,3,80.0,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,50,72,28,0.9,1,74,2,0.0,0.9999999999922338,7.444247668729597e-12,3.183679311368283e-13,4.4502699759190455e-15
12,1387,2019,1,1,CARL,64,RICH,97,Lachie Plowman,CARL,11,2,13,4,8,100.0,1,6,0,0,0,1,0,1,2,3,1,3,11,0,0,0,0,0,0,91,67,11.3,0,169,2,0.0,0.9999999675100218,3.215306797641361e-08,3.3668955463649557e-10,2.2704753514834922e-13
13,1387,2019,1,1,CARL,64,RICH,97,Sam Walsh,CARL,16,8,24,8,16,54.2,6,6,0,0,0,4,0,4,1,0,0,1,0,1,5,0,1,1,0,82,87,1.6,1,430,5,0.0,0.96332620612787,0.029892162887887864,0.006291155871034114,0.0004904751132099609
14,1387,2019,1,1,CARL,64,RICH,97,Zac Fisher,CARL,14,8,22,12,13,68.2,5,2,0,0,0,8,3,5,0,1,4,6,3,0,3,1,1,1,50,80,84,16.1,0,391,6,1.0,0.013838815296127481,0.5053342110396736,0.4319200802874501,0.04890689337675035
15,1387,2019,1,1,CARL,64,RICH,97,Ed Curnow,CARL,13,12,25,7,18,72.0,4,12,0,2,0,2,0,2,1,1,0,3,1,0,3,0,1,1,0,82,113,3.9,2,303,8,0.0,0.5357832981381622,0.30077762007640463,0.14384483095538897,0.01959425083004761
16,1387,2019,1,1,CARL,64,RICH,97,Jacob Weitering,CARL,13,4,17,8,7,88.2,3,7,3,0,0,0,0,0,3,0,2,2,6,0,1,0,0,0,0,98,70,14.3,0,302,2,0.0,0.9999937636233073,5.752000819678939e-06,4.788904547142499e-07,5.485415577939285e-09
17,1387,2019,1,1,CARL,64,RICH,97,Kade Simpson,CARL,15,12,27,5,19,77.8,1,6,0,0,0,2,1,1,5,1,0,1,1,0,1,0,0,0,0,84,92,8.9,0,462,2,0.0,0.9983148248722885,0.0013938591339011214,0.00027369336446701596,1.7622629346674433e-05
18,1387,2019,1,1,CARL,64,RICH,97,Mitch McGovern,CARL,8,3,11,5,8,63.6,3,5,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,50,75,53,3.9,0,230,5,0.0,0.9999999807991886,1.763813619178585e-08,1.5343727837404883e-09,2.830277531753234e-11
19,1387,2019,1,1,CARL,64,RICH,97,Will Setterfield,CARL,14,10,24,8,16,50.0,3,2,0,1,0,3,1,2,1,1,1,1,3,0,3,0,1,2,0,66,71,4.1,0,332,4,0.0,0.9999885728255566,9.787966945282727e-06,1.5910391478780957e-06,4.8168348437555585e-08
20,1387,2019,1,1,CARL,64,RICH,97,Harry McKay,CARL,7,4,11,9,4,81.8,2,6,4,3,3,1,1,0,0,1,1,4,4,0,0,2,1,0,67,83,77,12.9,1,147,7,0.0,0.983871377034151,0.012330414376703768,0.003606936648769754,0.00019127194037677018
21,1387,2019,1,1,CARL,64,RICH,97,Charlie Curnow,CARL,10,2,12,6,5,50.0,4,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,50,94,41,6.7,0,194,4,0.0,0.999999997902016,1.9733462494005596e-09,1.2264473469895072e-10,1.9953329850488056e-12
22,1387,2019,1,1,CARL,64,RICH,97,Noah Balta,RICH,5,0,5,2,4,80.0,5,2,0,0,6,1,1,0,0,1,3,1,2,0,3,1,0,0,50,52,29,5.1,0,223,2,0.0,0.9999999999998437,1.5393288152209762e-13,5.54264294665656e-15,5.3325869953558883e-17
23,1387,2019,1,1,CARL,64,RICH,97,Trent Cotchin,RICH,20,11,31,14,14,51.6,5,6,1,1,0,6,1,5,0,2,4,4,2,1,6,0,1,0,0,80,107,12.5,0,548,8,2.0,0.00015877052372173075,0.24678537987506202,0.5511008235555113,0.20195502604570648
24,1387,2019,1,1,CARL,64,RICH,97,David Astbury,RICH,5,4,9,4,4,77.8,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,92,26,7.5,0,175,4,0.0,0.9999999999519744,4.594155335540624e-11,2.0326467935048397e-12,4.850503937239118e-14
25,1387,2019,1,1,CARL,64,RICH,97,Nathan Broad,RICH,4,4,8,3,5,75.0,2,1,0,0,0,0,0,0,2,1,0,2,6,2,0,0,0,0,0,80,32,6.1,0,187,0,0.0,0.9999999998075921,1.8460401533466457e-10,7.676804397542895e-12,1.3014337972896767e-13
26,1387,2019,1,1,CARL,64,RICH,97,Dustin Martin,RICH,18,12,30,15,17,63.3,7,4,1,1,0,5,2,3,1,0,3,0,2,2,7,0,0,1,0,79,81,16.8,0,628,11,1.0,0.013830997754617899,0.6661094791780896,0.23749265745130532,0.08256686561598392
27,1387,2019,1,1,CARL,64,RICH,97,Dylan Grimes,RICH,5,4,9,5,3,66.7,2,1,1,0,0,1,0,1,2,1,1,4,7,0,1,0,0,0,0,80,40,8.0,0,169,0,0.0,0.9999999994932622,4.813545022537711e-10,2.512993184898693e-11,2.516852807140161e-13
