,Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements,Predicted_Votes,prediction0,prediction1,prediction2,prediction3
0,1387,2019,1,1,CARL,64,RICH,97,Marc Murphy,CARL,16,13,29,6,23,72.4,1,4,0,0,0,1,0,1,4,1,0,1,0,0,5,1,0,0,100,87,97,14.9,0,530,7,0.0,0.9751815529279884,0.019703662437301588,0.004883620120713183,0.0002311645139969699
1,1387,2019,1,1,CARL,64,RICH,97,Sam Petrevski-Seton,CARL,12,6,18,4,14,61.1,2,8,0,0,0,2,1,1,2,1,0,2,1,0,4,0,0,0,0,85,81,7.1,0,282,0,0.0,0.9999834459584263,9.647421575892011e-06,5.418717212497273e-06,1.487902785374596e-06
2,1387,2019,1,1,CARL,64,RICH,97,Nic Newman,CARL,21,5,26,5,17,84.6,2,9,0,0,0,1,0,1,12,1,0,2,3,0,2,1,0,0,100,84,115,15.9,0,584,4,0.0,0.9993017127756327,0.0005373666226688212,0.00015864107737900774,2.2795243193730724e-06
3,1387,2019,1,1,CARL,64,RICH,97,Liam Jones,CARL,4,4,8,7,2,87.5,2,3,1,0,0,1,0,1,3,3,1,5,7,0,0,0,0,0,0,97,49,11.5,0,20,1,0.0,0.9999999995068234,5.158712114327211e-12,4.880179375785726e-10,1.0680272887828836e-16
4,1387,2019,1,1,CARL,64,RICH,97,Andrew Phillips,CARL,5,4,9,3,7,66.7,4,3,1,0,27,3,2,1,0,1,3,8,4,0,2,0,0,0,0,79,83,9.7,2,163,2,0.0,0.9999569558815828,1.084442661486157e-11,2.8706670590844446e-05,1.43374369819362e-05
5,1387,2019,1,1,CARL,64,RICH,97,Michael Gibbons,CARL,5,6,11,3,7,72.7,2,2,0,0,0,0,0,0,0,0,1,3,2,0,1,0,1,0,0,71,43,3.9,0,168,5,0.0,0.9999999998655131,6.172307550088107e-13,1.3386963899705428e-10,6.088267780754075e-17
6,1387,2019,1,1,CARL,64,RICH,97,Patrick Cripps,CARL,10,22,32,21,11,81.3,3,1,0,0,0,7,4,3,2,3,1,6,0,1,2,0,0,0,0,89,101,26.2,0,263,5,0.0,0.8839785694228159,0.04542294875126556,0.07020937670533388,0.00038910512058459374
7,1387,2019,1,1,CARL,64,RICH,97,Jarrod Garlett,CARL,8,1,9,5,5,44.4,2,3,0,0,0,1,0,1,3,0,0,4,2,0,0,0,0,0,0,68,51,6.6,0,202,2,0.0,0.9999999761032617,2.6438627777242044e-15,2.389592475159349e-08,8.108455069603563e-13
8,1387,2019,1,1,CARL,64,RICH,97,David Cuningham,CARL,9,13,22,10,15,68.2,7,5,0,0,0,3,2,1,0,1,2,5,0,0,5,0,0,1,0,79,83,4.7,2,328,6,0.0,0.9999732628474908,2.2086859672841036e-05,4.601986924562187e-06,4.830591200254871e-08
9,1387,2019,1,1,CARL,64,RICH,97,Paddy Dow,CARL,8,13,21,9,12,66.7,4,3,0,1,0,1,1,0,1,1,1,2,1,0,3,0,1,0,0,76,66,5.4,0,195,5,0.0,0.999369134353415,0.0006297513531163367,9.546061379747705e-07,1.5968733085794667e-07
10,1387,2019,1,1,CARL,64,RICH,97,Dale Thomas,CARL,15,12,27,6,17,85.2,4,3,0,0,0,0,0,0,5,1,1,2,4,0,3,1,0,1,100,78,90,14.0,0,434,8,0.0,0.987029314410455,0.00911223343670322,0.003722825151678473,0.00013562700116305742
11,1387,2019,1,1,CARL,64,RICH,97,Alex Fasolo,CARL,4,1,5,1,3,80.0,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,50,72,28,0.9,1,74,2,0.0,0.9999984313653983,3.5628279711831405e-14,1.568634566064609e-06,1.6457163637165334e-18
12,1387,2019,1,1,CARL,64,RICH,97,Lachie Plowman,CARL,11,2,13,4,8,100.0,1,6,0,0,0,1,0,1,2,3,1,3,11,0,0,0,0,0,0,91,67,11.3,0,169,2,0.0,0.999999670240035,1.7890860827827416e-10,3.295810546866094e-07,1.5134638066943782e-15
13,1387,2019,1,1,CARL,64,RICH,97,Sam Walsh,CARL,16,8,24,8,16,54.2,6,6,0,0,0,4,0,4,1,0,0,1,0,1,5,0,1,1,0,82,87,1.6,1,430,5,0.0,0.998490869107907,0.0014544555718633211,6.9035286291321935e-06,4.7771791600642946e-05
14,1387,2019,1,1,CARL,64,RICH,97,Zac Fisher,CARL,14,8,22,12,13,68.2,5,2,0,0,0,8,3,5,0,1,4,6,3,0,3,1,1,1,50,80,84,16.1,0,391,6,0.0,0.972524702269687,0.025921541333521213,0.0010454001473077746,0.0005083562494839957
15,1387,2019,1,1,CARL,64,RICH,97,Ed Curnow,CARL,13,12,25,7,18,72.0,4,12,0,2,0,2,0,2,1,1,0,3,1,0,3,0,1,1,0,82,113,3.9,2,303,8,0.0,0.9976053806222491,0.002142345987248753,0.00024218154285721424,1.009184764504288e-05
16,1387,2019,1,1,CARL,64,RICH,97,Jacob Weitering,CARL,13,4,17,8,7,88.2,3,7,3,0,0,0,0,0,3,0,2,2,6,0,1,0,0,0,0,98,70,14.3,0,302,2,0.0,0.9999937602620189,5.729679930476444e-07,5.666565191854616e-06,2.0479613076338884e-10
17,1387,2019,1,1,CARL,64,RICH,97,Kade Simpson,CARL,15,12,27,5,19,77.8,1,6,0,0,0,2,1,1,5,1,0,1,1,0,1,0,0,0,0,84,92,8.9,0,462,2,0.0,0.9977388561119703,0.0016313925827737268,0.0006062071073783379,2.354419787778638e-05
18,1387,2019,1,1,CARL,64,RICH,97,Mitch McGovern,CARL,8,3,11,5,8,63.6,3,5,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,50,75,53,3.9,0,230,5,0.0,0.9999993360826014,6.506310106985598e-07,1.3285670146550406e-08,7.177175163335718e-13
19,1387,2019,1,1,CARL,64,RICH,97,Will Setterfield,CARL,14,10,24,8,16,50.0,3,2,0,1,0,3,1,2,1,1,1,1,3,0,3,0,1,2,0,66,71,4.1,0,332,4,0.0,0.9918548978572141,0.00705923230577165,0.0009873845035412961,9.848533347284925e-05
20,1387,2019,1,1,CARL,64,RICH,97,Harry McKay,CARL,7,4,11,9,4,81.8,2,6,4,3,3,1,1,0,0,1,1,4,4,0,0,2,1,0,67,83,77,12.9,1,147,7,0.0,0.9998703402850985,2.8096433257720495e-05,0.00010155796525095087,5.316393028657869e-09
21,1387,2019,1,1,CARL,64,RICH,97,Charlie Curnow,CARL,10,2,12,6,5,50.0,4,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,50,94,41,6.7,0,194,4,0.0,0.9999999929965362,2.1072077220365142e-17,7.003463691313639e-09,4.49899057422956e-24
22,1387,2019,1,1,CARL,64,RICH,97,Noah Balta,RICH,5,0,5,2,4,80.0,5,2,0,0,6,1,1,0,0,1,3,1,2,0,3,1,0,0,50,52,29,5.1,0,223,2,0.0,0.9999999128112427,8.586532874227617e-08,1.3227720277916798e-09,6.566492314379363e-13
23,1387,2019,1,1,CARL,64,RICH,97,Trent Cotchin,RICH,20,11,31,14,14,51.6,5,6,1,1,0,6,1,5,0,2,4,4,2,1,6,0,1,0,0,80,107,12.5,0,548,8,1.0,0.26520765109912314,0.3599053774601651,0.06885731989986707,0.3060296515408447
24,1387,2019,1,1,CARL,64,RICH,97,David Astbury,RICH,5,4,9,4,4,77.8,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,92,26,7.5,0,175,4,0.0,0.9999886211254925,1.1255981207079877e-05,2.1340136383164987e-26,1.228933005309725e-07
25,1387,2019,1,1,CARL,64,RICH,97,Nathan Broad,RICH,4,4,8,3,5,75.0,2,1,0,0,0,0,0,0,2,1,0,2,6,2,0,0,0,0,0,80,32,6.1,0,187,0,0.0,0.9989784484371073,0.001002975444898031,1.261814223041591e-16,1.8576117994378045e-05
