,Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements,Predicted_Votes,prediction0,prediction1,prediction2,prediction3
0,1387,2019,1,1,CARL,64,RICH,97,Marc Murphy,CARL,16,13,29,6,23,72.4,1,4,0,0,0,1,0,1,4,1,0,1,0,0,5,1,0,0,100,87,97,14.9,0,530,7,0.0,0.9850848844028048,0.014777034672741196,7.563731345872314e-05,6.244361099521061e-05
1,1387,2019,1,1,CARL,64,RICH,97,Sam Petrevski-Seton,CARL,12,6,18,4,14,61.1,2,8,0,0,0,2,1,1,2,1,0,2,1,0,4,0,0,0,0,85,81,7.1,0,282,0,0.0,0.9997244936091992,0.00027124987816323786,4.216741916029363e-06,3.977072170625638e-08
2,1387,2019,1,1,CARL,64,RICH,97,Nic Newman,CARL,21,5,26,5,17,84.6,2,9,0,0,0,1,0,1,12,1,0,2,3,0,2,1,0,0,100,84,115,15.9,0,584,4,0.0,0.9731891805630153,0.01871323120648281,0.006165494402261054,0.0019320938282405757
3,1387,2019,1,1,CARL,64,RICH,97,Liam Jones,CARL,4,4,8,7,2,87.5,2,3,1,0,0,1,0,1,3,3,1,5,7,0,0,0,0,0,0,97,49,11.5,0,20,1,0.0,0.9999999983029844,1.230041478596893e-16,1.696981732863485e-09,3.370975720018214e-14
4,1387,2019,1,1,CARL,64,RICH,97,Andrew Phillips,CARL,5,4,9,3,7,66.7,4,3,1,0,27,3,2,1,0,1,3,8,4,0,2,0,0,0,0,79,83,9.7,2,163,2,0.0,0.9999953801316793,4.028725957384279e-09,4.61580498081179e-06,3.461378128630183e-11
5,1387,2019,1,1,CARL,64,RICH,97,Michael Gibbons,CARL,5,6,11,3,7,72.7,2,2,0,0,0,0,0,0,0,0,1,3,2,0,1,0,1,0,0,71,43,3.9,0,168,5,0.0,0.9999999999155624,5.3689301300774377e-14,8.438351544278624e-11,1.1909521393097384e-16
6,1387,2019,1,1,CARL,64,RICH,97,Patrick Cripps,CARL,10,22,32,21,11,81.3,3,1,0,0,0,7,4,3,2,3,1,6,0,1,2,0,0,0,0,89,101,26.2,0,263,5,0.0,0.8965351388812481,0.030811860944702042,0.07166756748508422,0.0009854326889655474
7,1387,2019,1,1,CARL,64,RICH,97,Jarrod Garlett,CARL,8,1,9,5,5,44.4,2,3,0,0,0,1,0,1,3,0,0,4,2,0,0,0,0,0,0,68,51,6.6,0,202,2,0.0,0.999999998499401,2.947477531707496e-13,1.5002835646743067e-09,2.0588498587537868e-14
8,1387,2019,1,1,CARL,64,RICH,97,David Cuningham,CARL,9,13,22,10,15,68.2,7,5,0,0,0,3,2,1,0,1,2,5,0,0,5,0,0,1,0,79,83,4.7,2,328,6,0.0,0.999730563353001,0.0002460410130208813,2.3381134042400167e-05,1.4499935569244298e-08
9,1387,2019,1,1,CARL,64,RICH,97,Paddy Dow,CARL,8,13,21,9,12,66.7,4,3,0,1,0,1,1,0,1,1,1,2,1,0,3,0,1,0,0,76,66,5.4,0,195,5,0.0,0.9996526916759919,0.0003450641354045886,2.2398788415448825e-06,4.309762052049879e-09
